,gdp_growth_yoy_lag_6,UNRATE_lag_3,unemployment_change,DGS10,yield_curve_slope,inflation_yoy,gdp_growth_yoy_lag_3,fed_funds_momentum,real_fed_funds,CPIAUCSL,gdp_growth_yoy,employment_growth_yoy,gdp_growth_yoy_lag_1,employment_growth_yoy_lag_3
1963-11-01,1.2997207530659027,5.4,0.0,4.15,0.6700000000000004,1.3166556945358954,2.3329818722290785,-0.0100000000000002,2.1633443054641046,30.78,1.473207912557184,2.138932496075352,3.8405594583264646,1.9198395357999944
1963-12-01,1.2997207530659027,5.5,0.0,4.166,0.7860000000000005,1.6458196181698526,2.3329818722290785,-0.1,1.734180381830147,30.88,1.473207912557184,2.3791675590776107,1.473207912557184,1.9650577012397807
1964-01-01,3.663024874853616,5.5,-0.1000000000000005,4.182,0.7020000000000004,1.6425755584756896,3.8405594583264646,-0.02,1.8374244415243104,30.94,3.9379682330815458,2.4449790608571664,1.473207912557184,2.2162345425670527
1964-02-01,2.3329818722290785,5.7,-0.5,4.198,0.7180000000000004,1.4107611548556331,1.473207912557184,0.0,2.069238845144367,30.91,2.428976447308462,2.7085185843855664,3.9379682330815458,2.138932496075352
1964-03-01,2.3329818722290785,5.5,-0.2999999999999998,4.214,0.7840000000000003,1.4093739757456536,1.473207912557184,0.0500000000000002,2.0206260242543466,30.94,2.428976447308462,2.80007102272728,2.428976447308462,2.3791675590776107
1964-04-01,3.8405594583264646,5.6,-0.4000000000000003,4.23,0.7600000000000002,1.5419947506561726,3.9379682330815458,-0.0099999999999997,1.928005249343828,30.95,3.782621594096081,2.3718628490632776,2.428976447308462,2.4449790608571664
1964-05-01,1.473207912557184,5.4,-0.8000000000000007,4.22,0.7199999999999998,1.5404785316289749,2.428976447308462,0.02,1.9595214683710247,30.98,1.321545126914314,2.601738024586697,3.782621594096081,2.7085185843855664
1964-06-01,1.473207912557184,5.4,-0.3999999999999994,4.19,0.6900000000000004,1.3067624959163693,2.428976447308462,0.0699999999999998,2.1932375040836307,31.01,1.321545126914314,2.753313683616021,1.321545126914314,2.80007102272728
1964-07-01,3.9379682330815458,5.3,-0.6999999999999993,4.15,0.7300000000000004,1.0752688172043,3.782621594096081,-0.0500000000000002,2.3447311827957,31.02,3.3156569954405635,2.848892488643173,1.321545126914314,2.3718628490632776
1964-08-01,2.428976447308462,5.1,-0.4000000000000003,4.18,0.6799999999999997,0.9756097560975618,1.321545126914314,0.0,2.524390243902438,31.05,1.9681025057685984,3.002987172728866,3.3156569954405635,2.601738024586697
1964-09-01,2.428976447308462,5.2,-0.4000000000000003,4.21,0.7599999999999998,1.171875,1.321545126914314,-0.0499999999999998,2.278125,31.08,1.9681025057685984,3.197379025193592,1.9681025057685984,2.753313683616021
1964-10-01,3.782621594096081,4.9,-0.4000000000000003,4.18,0.8199999999999998,1.2032520325203189,3.3156569954405635,-0.06,2.156747967479681,31.12,2.747268939137193,2.6360351238587265,1.9681025057685984,2.848892488643173
1964-11-01,1.321545126914314,5.0,-0.9000000000000004,4.19,0.6699999999999995,1.3970110461338558,1.9681025057685984,0.02,2.122988953866144,31.21,0.7641276185604395,3.428521526504236,2.747268939137193,3.002987172728866
1964-12-01,1.321545126914314,5.1,-0.5,4.2,0.3500000000000001,1.1981865284974136,1.9681025057685984,0.3999999999999999,2.6518134715025865,31.25,0.7641276185604395,3.591290249472645,0.7641276185604395,3.197379025193592
1965-01-01,3.3156569954405635,5.1,-0.6999999999999993,4.2,0.3000000000000002,1.098901098901095,2.747268939137193,0.54,2.801098901098905,31.28,3.7222320965390354,3.644302190060356,0.7641276185604395,2.6360351238587265
1965-02-01,1.9681025057685984,4.8,-0.3000000000000007,4.2,0.2200000000000002,1.1970236169524415,0.7641276185604395,0.4599999999999999,2.7829763830475582,31.28,2.935672195939021,3.544404619673447,3.7222320965390354,3.428521526504236
1965-03-01,1.9681025057685984,5.0,-0.7000000000000002,4.22,0.1699999999999999,1.195862960568839,0.7641276185604395,0.1999999999999997,2.854137039431161,31.31,2.935672195939021,3.637494170682421,2.935672195939021,3.591290249472645
1965-04-01,2.747268939137193,4.9,-0.5,4.2,0.1100000000000003,1.3893376413570246,3.7222320965390354,0.1899999999999999,2.700662358642975,31.38,4.714054829998915,4.0347363696005,2.935672195939021,3.644302190060356
1965-05-01,0.7641276185604395,5.1,-0.5,4.215,0.1150000000000002,1.61394448030987,2.935672195939021,0.1199999999999996,2.486055519690129,31.48,1.7276640800234055,4.135034171702046,4.714054829998915,3.544404619673447
1965-06-01,0.7641276185604395,4.7,-0.6000000000000005,4.23,0.1800000000000006,1.9348597226700903,2.935672195939021,0.0,2.115140277329909,31.61,1.7276640800234055,4.2443188649753605,1.7276640800234055,3.637494170682421
